Time;Ultrasónico_p4_01;Ultrasónico_p4_02;Ultrasónico_p4_03;Ultrasónico_p4_04;Ultrasónico_p4_05;Ultrasónico_p4_06;Ultrasónico_p4_07;Ultrasónico_p4_08;Ultrasónico_p4_09;Ultrasónico_p4_10
11,600;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,100;212,400;242,700;
11,700;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,100;212,400;242,600;
11,800;21,100;41,000;61,400;80,400;100,700;120,800;151,100;182,100;212,600;242,700;
11,900;21,100;41,000;61,400;80,400;100,700;120,800;151,100;182,100;212,400;242,700;
12,000;21,100;41,000;60,900;80,400;100,600;120,800;150,400;182,100;212,300;242,700;
12,100;21,100;41,000;60,900;81,000;100,700;120,800;151,100;182,100;212,400;242,700;
12,200;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,100;212,400;242,600;
12,300;21,100;41,000;61,400;80,400;100,700;120,800;151,100;182,100;212,400;242,600;
12,400;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,100;212,600;242,600;
12,500;21,100;40,300;60,900;80,400;100,700;120,800;151,100;182,500;212,400;242,700;
12,600;21,100;41,000;61,400;80,400;100,700;120,800;151,100;182,100;212,400;242,700;
12,700;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,200;212,400;242,700;
12,800;21,100;40,800;61,400;80,400;100,700;120,800;151,100;182,500;212,300;242,700;
12,900;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,200;212,400;242,700;
13,000;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,500;213,200;242,700;
13,100;21,100;41,000;60,900;80,400;100,600;120,800;151,100;182,100;212,200;242,700;
13,200;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,100;212,200;242,600;
13,300;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,100;211,600;242,700;
13,400;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,100;213,200;242,700;
13,500;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,100;213,000;242,700;
13,600;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,100;213,200;242,700;
13,700;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,100;212,200;242,700;
13,800;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,200;211,600;242,700;
13,900;21,100;41,000;61,400;80,400;100,700;120,800;151,100;182,100;212,400;242,700;
14,000;21,100;41,000;60,900;80,400;100,700;121,000;151,100;182,100;212,300;242,600;
14,100;21,100;41,000;60,900;80,400;100,700;121,000;151,100;182,100;213,000;242,700;
14,200;21,100;41,000;60,900;80,600;100,700;120,800;151,200;182,100;211,600;242,700;
14,300;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,100;212,300;242,700;
14,400;21,100;41,000;60,900;80,300;100,700;120,800;151,100;182,100;213,000;242,600;
14,500;21,100;41,000;60,900;80,500;100,700;120,800;151,100;182,100;213,000;242,700;
14,600;21,200;41,000;60,900;80,500;100,700;121,000;151,100;182,100;213,200;242,700;
14,700;21,100;41,000;61,400;80,400;100,700;121,000;151,100;182,100;212,400;242,000;
14,800;21,100;41,000;60,900;80,600;100,700;121,000;151,100;182,100;212,200;242,700;
14,900;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,100;212,200;242,000;
15,000;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,100;212,200;242,200;
